rank,score,sharpe,profit_factor,win_rate,trades,total_return,max_drawdown,avg_hold,use_slope,use_trend_sep,use_vcp,use_breakout,use_orb,use_rsi_rise,use_rsi_delta,use_rsi_lvl,use_adx,use_52w_high,use_ma20
108,23.9509,3.3661,7.1153,0.671,1383,4735.04,-12.98,3.2,0,0,0,0,1,1,1,0,1,1,0
109,23.7474,3.8822,6.117,0.7363,1039,1931.2,-5.22,3.05,0,0,1,0,0,0,0,0,0,1,1
110,23.7474,3.8822,6.117,0.7363,1039,1931.2,-5.22,3.05,0,0,1,0,0,0,1,0,0,1,1
111,23.7474,3.8822,6.117,0.7363,1039,1931.2,-5.22,3.05,0,0,1,0,0,1,0,0,0,1,1
112,23.7474,3.8822,6.117,0.7363,1039,1931.2,-5.22,3.05,0,0,1,0,0,1,1,0,0,1,1
113,23.7102,3.7908,6.2546,0.7264,965,1655.92,-5.06,3.1,0,1,1,0,1,0,0,0,0,1,0
114,23.7102,3.7908,6.2546,0.7264,965,1655.92,-5.06,3.1,0,1,1,0,1,0,1,0,0,1,0
115,23.7102,3.7908,6.2546,0.7264,965,1655.92,-5.06,3.1,0,1,1,0,1,1,0,0,0,1,0
116,23.7102,3.7908,6.2546,0.7264,965,1655.92,-5.06,3.1,0,1,1,0,1,1,1,0,0,1,0
117,23.5779,3.6513,6.4574,0.6688,1437,8049.57,-8.0,3.41,1,0,0,0,1,0,0,0,0,0,1
118,23.5779,3.6513,6.4574,0.6688,1437,8049.57,-8.0,3.41,1,0,0,0,1,1,0,0,0,0,1
119,23.3888,3.7652,6.2118,0.6708,1446,8145.76,-8.08,3.41,1,1,0,0,1,0,1,0,0,0,0
120,23.3888,3.7652,6.2118,0.6708,1446,8145.76,-8.08,3.41,1,1,0,0,1,1,1,0,0,0,0
121,23.368,3.2564,7.176,0.6679,1352,5785.94,-7.26,3.21,0,1,0,0,1,0,1,0,1,1,1
122,23.368,3.2564,7.176,0.6679,1352,5785.94,-7.26,3.21,0,1,0,0,1,1,1,0,1,1,1
123,23.3431,3.7635,6.2025,0.6701,1446,8144.4,-8.08,3.41,1,1,0,0,1,0,0,0,0,0,0
124,23.3431,3.7635,6.2025,0.6701,1446,8144.4,-8.08,3.41,1,1,0,0,1,1,0,0,0,0,0
125,23.3172,3.7087,6.2872,0.6729,1440,8205.83,-8.0,3.45,1,0,0,0,1,0,1,0,0,0,0
126,23.3172,3.7087,6.2872,0.6729,1440,8205.83,-8.0,3.45,1,0,0,0,1,1,1,0,0,0,0
127,23.2766,3.8997,5.9688,0.7377,1037,1889.78,-5.22,3.05,0,0,1,0,1,0,0,0,0,1,1
128,23.2766,3.8997,5.9688,0.7377,1037,1889.78,-5.22,3.05,0,0,1,0,1,0,1,0,0,1,1
129,23.2766,3.8997,5.9688,0.7377,1037,1889.78,-5.22,3.05,0,0,1,0,1,1,0,0,0,1,1
130,23.2766,3.8997,5.9688,0.7377,1037,1889.78,-5.22,3.05,0,0,1,0,1,1,1,0,0,1,1
131,23.2714,3.7526,6.2014,0.7255,958,1618.32,-5.22,3.11,0,1,1,0,1,0,0,0,0,1,1
132,23.2714,3.7526,6.2014,0.7255,958,1618.32,-5.22,3.11,0,1,1,0,1,0,1,0,0,1,1
133,23.2714,3.7526,6.2014,0.7255,958,1618.32,-5.22,3.11,0,1,1,0,1,1,0,0,0,1,1
134,23.2714,3.7526,6.2014,0.7255,958,1618.32,-5.22,3.11,0,1,1,0,1,1,1,0,0,1,1
135,23.2658,3.568,6.5206,0.6766,1444,10051.45,-7.53,3.4,0,1,0,0,1,0,1,1,0,0,0
136,23.2658,3.568,6.5206,0.6766,1444,10051.45,-7.53,3.4,0,1,0,0,1,0,1,1,0,0,1
137,23.2658,3.568,6.5206,0.6766,1444,10051.45,-7.53,3.4,0,1,0,0,1,1,1,1,0,0,0
138,23.2658,3.568,6.5206,0.6766,1444,10051.45,-7.53,3.4,0,1,0,0,1,1,1,1,0,0,1
139,23.2288,3.7054,6.269,0.6727,1439,8178.74,-8.0,3.45,1,0,0,0,1,0,0,0,0,0,0
140,23.2288,3.7054,6.269,0.6727,1439,8178.74,-8.0,3.45,1,0,0,0,1,1,0,0,0,0,0
141,23.1572,3.7125,6.2376,0.7206,952,1623.83,-5.22,3.15,0,1,1,0,0,0,0,0,0,1,1
142,23.1572,3.7125,6.2376,0.7206,952,1623.83,-5.22,3.15,0,1,1,0,0,0,1,0,0,1,1
143,23.1572,3.7125,6.2376,0.7206,952,1623.83,-5.22,3.15,0,1,1,0,0,1,0,0,0,1,1
144,23.1572,3.7125,6.2376,0.7206,952,1623.83,-5.22,3.15,0,1,1,0,0,1,1,0,0,1,1
145,23.1018,3.451,6.6942,0.6686,1391,7480.91,-8.3,3.28,0,0,0,0,1,0,0,1,1,0,0
146,23.1018,3.451,6.6942,0.6686,1391,7480.91,-8.3,3.28,0,0,0,0,1,0,0,1,1,0,1
147,23.1018,3.451,6.6942,0.6686,1391,7480.91,-8.3,3.28,0,0,0,0,1,1,0,1,1,0,0
148,23.1018,3.451,6.6942,0.6686,1391,7480.91,-8.3,3.28,0,0,0,0,1,1,0,1,1,0,1
149,23.0622,3.2646,7.0643,0.6664,1355,5774.61,-7.26,3.21,0,1,0,0,1,0,0,0,1,1,1
150,23.0622,3.2646,7.0643,0.6664,1355,5774.61,-7.26,3.21,0,1,0,0,1,1,0,0,1,1,1
151,23.0216,3.8336,6.0052,0.7373,982,1610.15,-5.22,3.02,1,0,1,0,0,0,0,1,0,1,0
152,23.0216,3.8336,6.0052,0.7373,982,1610.15,-5.22,3.02,1,0,1,0,0,0,0,1,0,1,1
153,23.0216,3.8336,6.0052,0.7373,982,1610.15,-5.22,3.02,1,0,1,0,0,0,1,1,0,1,0
154,23.0216,3.8336,6.0052,0.7373,982,1610.15,-5.22,3.02,1,0,1,0,0,0,1,1,0,1,1
155,23.0216,3.8336,6.0052,0.7373,982,1610.15,-5.22,3.02,1,0,1,0,0,1,0,1,0,1,0
156,23.0216,3.8336,6.0052,0.7373,982,1610.15,-5.22,3.02,1,0,1,0,0,1,0,1,0,1,1
157,23.0216,3.8336,6.0052,0.7373,982,1610.15,-5.22,3.02,1,0,1,0,0,1,1,1,0,1,0
158,23.0216,3.8336,6.0052,0.7373,982,1610.15,-5.22,3.02,1,0,1,0,0,1,1,1,0,1,1
159,22.9506,3.7111,6.1843,0.7214,962,1621.98,-5.06,3.12,0,1,1,0,0,0,0,0,0,1,0
160,22.9506,3.7111,6.1843,0.7214,962,1621.98,-5.06,3.12,0,1,1,0,0,0,1,0,0,1,0
161,22.9506,3.7111,6.1843,0.7214,962,1621.98,-5.06,3.12,0,1,1,0,0,1,0,0,0,1,0
162,22.9506,3.7111,6.1843,0.7214,962,1621.98,-5.06,3.12,0,1,1,0,0,1,1,0,0,1,0
163,22.9456,3.2739,7.0087,0.6704,1353,5426.31,-7.19,3.18,1,1,0,0,1,0,0,0,1,1,1
164,22.9456,3.2739,7.0087,0.6704,1353,5426.31,-7.19,3.18,1,1,0,0,1,1,0,0,1,1,1
165,22.9172,3.5156,6.5187,0.6728,1357,4390.35,-7.03,3.22,1,0,0,0,1,0,1,0,1,1,1
166,22.9172,3.5156,6.5187,0.6728,1357,4390.35,-7.03,3.22,1,0,0,0,1,1,1,0,1,1,1
167,22.8884,3.7402,6.1196,0.6831,1436,7071.41,-7.38,3.36,1,0,0,0,1,0,1,1,0,1,0
168,22.8884,3.7402,6.1196,0.6831,1436,7071.41,-7.38,3.36,1,0,0,0,1,0,1,1,0,1,1
